Flyana Boss,Los Angeles,no data,no data,nan,no data
Chase Akers,no data,no data,no data,nan,no data
Green Day,United States,Berkeley,1989,nan,no data
[unknown],[Worldwide],no data,no data,nan,not applicable
2Rare,United States,no data,2000-08-12,nan,male
Various Artists,no data,no data,no data,nan,no data
Bankrol Hayden,no data,no data,no data,nan,no data
Cordae,United States,Raleigh,1997-08-26,nan,male
22Gz,United States,Brooklyn,1997-11-29,nan,male
Yardie Muzik,no data,no data,no data,nan,no data
Free Nationals,Los Angeles,Los Angeles,2010,nan,no data
KAYTRANADA,Canada,Port-au-Prince,1992-08-25,nan,male
Maeta,United States,no data,no data,nan,female
Chance the Rapper,United States,Chicago,1993-04-16,nan,male
Sir Arthur Conan Doyle,United Kingdom,Edinburgh,1859-05-22,True,male
Ryan Oakes,Los Angeles,Virginia,1995-03-10,nan,male
Mavi,no data,no data,1999-10-07,nan,no data
Gus Dapperton,United States,no data,1997-03-11,nan,male
FEVER 333,United States,Inglewood,2017-07,nan,no data
Degiheugi,France,no data,no data,nan,no data
ABRA,United States,Queens,1989-03-30,nan,female
Niontay,no data,no data,no data,nan,no data
Good Riddance,United States,Santa Cruz,1986,nan,no data
RIMON,Netherlands,Eritrea,1997,nan,female
Benny the Butcher,Buffalo,Buffalo,1984-11-27,nan,male
KLIM beats,Ukraine,Kyïv,1988-12-06,nan,male
Dua Saleh,United States,Kassalā,no data,nan,non-binary
Jaden,United States,Malibu,1998-07-08,nan,male
Rae Khalil,no data,no data,no data,nan,no data
Ray Lozano,no data,no data,no data,nan,no data
emawk,New York,Boston,no data,nan,male
Kill Bill: The Rapper,Walterboro,no data,no data,nan,male
Smoke DZA,United States,Harlem,1984-02-08,nan,male
mynameisntjmack,no data,no data,no data,nan,male
Ameer Vann,United States,no data,no data,nan,male
La Rue,United States,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Yeat,United States,Irvine,2000-02-26,nan,male
no data,no data,no data,no data,no data,no data
Boztown,France,no data,no data,nan,male
Wynne,United States,Lake Oswego,1997-04-25,nan,female
no data,no data,no data,no data,no data,no data
AZ,United States,Brooklyn,1972-03-09,nan,male
Reverie,United States,no data,no data,nan,female
DJ Flipcyide,United States,no data,no data,nan,male
KANII,United States,"Washington, D.C.",2005-08-02,nan,male
yeyts.,no data,no data,no data,nan,male
Jim Reeves,United States,Galloway,1923-08-20,True,male
no data,no data,no data,no data,no data,no data
Lance Redeker,San Francisco,San Francisco,no data,nan,no data
Son of Saturn,no data,no data,no data,nan,no data
skaiwater,no data,Nottingham,no data,nan,non-binary
Offset,United States,Lawrenceville,1991-12-14,nan,male
Salimata,no data,no data,no data,nan,no data
Lakeyah,United States,Milwaukee,2001-02-28,nan,female
Foxy Brown,United States,Brooklyn,1978-09-06,nan,female
ayrtn,no data,no data,no data,nan,no data
J. K. Rowling,United Kingdom,Yate,1965-07-31,nan,female
Adé Hakim,no data,no data,no data,nan,male
42 Dugg,United States,Detroit,1993-11-25,nan,male
Various Artists,no data,no data,no data,nan,no data
Janelle Monáe,United States,Kansas City,1985-12-01,nan,non-binary
no data,no data,no data,no data,no data,no data
Tina Turner,Switzerland,Nutbush,1939-11-26,True,female
Twinkle Twinkle Little Rock Star,no data,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
OhGeesy,Los Angeles,Los Angeles,no data,nan,male
no data,no data,no data,no data,no data,no data
Tank,United Kingdom,London,1980,nan,no data
Hip Hop Kclan,United States,no data,no data,nan,no data
Nirvana,United States,Aberdeen,1987,True,no data
DaniLeigh,United States,Florida,1994-12-20,nan,female
LoFi Hip Hop,no data,no data,no data,nan,no data
Marsha Ambrosius,United States,Liverpool,1977-08-08,nan,female
Kevin Gates,United States,New Orleans,1986-02-05,nan,male
Jason Derulo,United States,Miami,1989-09-21,nan,male
The Tragically Hip,Canada,Kingston,1983,True,no data
OHTORA,Japan,no data,no data,nan,male
Sueco,United States,Los Angeles,1997-01-28,nan,male
Jaypitts,no data,no data,no data,nan,no data
Royal Philharmonic Orchestra,United Kingdom,London,1946,nan,no data
dkj,no data,no data,no data,nan,no data
Flowdan,United Kingdom,no data,1980-03-17,nan,male
Jimothy Lacoste,United Kingdom,no data,1999,nan,male
The Tragically Hip,Canada,Kingston,1983,True,no data
Hendersin,no data,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Kay the Aquanaut,Canada,no data,no data,nan,male
Visionaries,United States,Los Angeles,1995,nan,no data
Trizz,no data,no data,no data,nan,male
Mason,Netherlands,Amsterdam,1980-01-17,nan,male
Sartre,Ottawa,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
MC Lee,Alicante,no data,no data,nan,no data
Still Barz,no data,no data,no data,nan,male
Sett,Croatia,no data,no data,nan,male
Caserta,Brooklyn,no data,no data,nan,male
Toeknee Tee,no data,no data,no data,nan,no data
GurtyBeats,New York,no data,no data,nan,male
Lil Jon,United States,Atlanta,1971-01-17,nan,male
Iggy Pop,United States,Muskegon,1947-04-21,nan,male
O.T. Genasis,United States,Long Beach,1987-06-18,nan,male
Dean Thomas,United States,no data,no data,nan,male
no data,no data,no data,no data,no data,no data
Honey Bxby,no data,no data,no data,nan,no data
Metro Boomin,United States,St. Louis,1993-09-16,nan,male
David Gray,United Kingdom,Sale,1968-06-13,nan,male
Yeletez,no data,no data,no data,nan,no data
Legends of Hip Hop,no data,no data,no data,nan,no data
Hottest,no data,no data,no data,nan,no data
no data,no data,no data,no data,no data,no data
Johnny Yukon,no data,no data,no data,nan,male
Grateful Dead,United States,Palo Alto,1965,True,no data
The Tragically Hip,Canada,Kingston,1983,True,no data
Denzel Curry,United States,Carol City,1995-02-16,nan,male
no data,no data,no data,no data,no data,no data
DXR,no data,no data,no data,nan,no data
Veeze,United States,Detroit,no data,nan,male
Jim Dooley,United States,New York,1976-08-22,nan,male
Lo Fi Hip Hop,no data,no data,no data,nan,no data
[no artist],no data,no data,no data,nan,not applicable
Kehlani,United States,Oakland,1995-04-24,nan,non-binary
V. Green,no data,no data,no data,nan,no data
Joni Mitchell,Canada,Fort Macleod,1943-11-07,nan,female
Lupe Fiasco,United States,Chicago,1982-02-16,nan,male
Serengeti,United States,Chicago,no data,nan,male
Instrumental Hip Hop Beats Gang,no data,no data,no data,nan,no data
Desiigner,United States,Brooklyn,1997-05-03,nan,male
Missy Elliott,United States,Portsmouth,1971-07-01,nan,female
Gunna,United States,College Park,1993-06-14,nan,male
D4L,United States,Atlanta,2003,nan,no data
Lil Keed,United States,Atlanta,1998-03-16,True,male
Druss,no data,no data,no data,nan,male
Yo La Tengo,Hoboken,Hoboken,1984,nan,no data
no data,no data,no data,no data,no data,no data
Linkin Park,United States,Agoura Hills,1996,nan,no data
Metatext,no data,no data,no data,nan,no data
Dena DeRose,United States,Binghamton,1966-02-15,nan,female
Aminé,United States,Portland,1994-04-18,nan,male
XXXTENTACION,United States,Plantation,1998-01-23,True,male
Hip-Hop,Denmark,no data,no data,nan,no data
