,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
415,Fujii Kaze,Matsuri,track,LOVE ALL SERVE ALL,11,2022-03-23
416,Tyga,Freaky Deaky,track,Freaky Deaky,1,2022-02-25
417,beabadoobee,10:36,track,Beatopia,14,2022-07-15
418,Josh Ross,First Taste of Gone,track,First Taste of Gone,1,2022-02-11
419,BLACKPINK,Shut Down,track,BORN PINK,8,2022-09-16
420,Rauw Alejandro,LOKERA,track,LOKERA,1,2022-07-25
421,Conan Gray,Yours,track,Superache,12,2022-06-24
422,Fireboy DML,Bandana,track,Playboy,14,2022-08-04
423,Oxlade,KU LO SA - A COLORS SHOW,track,KU LO SA - A COLORS SHOW,1,2022-06-10
424,Taylor Swift,Bejeweled,track,Midnights (3am Edition),20,2022-10-22
425,Río Roma,Tú Me Gustas,track,Tú Me Gustas,1,2022-03-04
426,Ashley Cooke,never til now,track,Already Drank That Beer,9,2022-04-01
427,Memphis May Fire,Make Believe,track,Make Believe,7,2022-02-18
428,Muscadine Bloodline,Dyin' For a Livin',track,Dispatch to 16th Ave.,9,2022-02-04
429,The Maine,Loved You A Little (with Taking Back Sunday and Charlotte Sands),track,Loved You A Little (with Taking Back Sunday and Charlotte Sands),1,2022-01-20
430,Tom Odell,Best Day Of My Life,track,Best Day of My Life,12,2022-10-28
431,Kidd G,People Talk,track,People Talk,1,2022-04-15
432,Cordae,Super,track,From a Birds Eye View,14,2022-01-14
433,Post Malone,Wasting Angels (with The Kid LAROI),track,Twelve Carat Toothache,14,2022-06-03
434,Stray Kids,"TASTE (Lee Know, Hyunjin, Felix)",track,MAXIDENT,8,2022-10-07
435,Beyoncé,MOVE (feat. Grace Jones & Tems),track,RENAISSANCE,16,2022-07-29
436,GRAHAM,Mad It's My Fault,track,Mad It's My Fault,1,2022-07-08
437,Chase Matthew,Can't Hide Love,track,Born for This,12,2022-02-11
438,Benson Boone,Work of Art,track,Walk Me Home...,8,2022-07-29
439,Dylan Schneider,Ain't Missin' You,track,Ain't Missin' You,1,2022-09-16
440,LE SSERAFIM,ANTIFRAGILE,track,ANTIFRAGILE,5,2022-10-17
441,Porter Robinson,Everything Goes On,track,Everything Goes On,1,2022-07-14
442,LE SSERAFIM,Good Parts (when the quality is bad but I am),track,ANTIFRAGILE,5,2022-10-17
443,Cults,Gilded Lily - Sped Up,track,Offering,13,2022-10-26
444,Punctual,Do It All Again,track,Do It All Again,1,2022-02-11
445,Jung Kook,My You,track,My You,1,2022-06-13
446,BLACKPINK,Pink Venom,track,Pink Venom,1,2022-08-19
447,Bette Midler,One Way or Another (Hocus Pocus 2 Version),track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
448,Chase Matthew,Love You Again,track,Love You Again,1,2022-12-09
449,Lil Durk,Mad Max,track,Lil Durk Presents: Loyal Bros 2,23,2022-12-16
450,Taylor Swift,"You're On Your Own, Kid",track,Midnights (3am Edition),20,2022-10-22
451,The Lumineers,WHERE WE ARE,track,BRIGHTSIDE,9,2022-01-14
452,Ski Mask The Slump God,OOGA BOOGA!,track,OOGA BOOGA!,1,2022-10-25
