,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
140,blink-182,EDGING,track,ONE MORE TIME...,17,2023-10-20
141,Self Deception,Fight Fire With Gasoline,track,You Are Only As Sick As Your Secrets,11,2023-02-24
142,Josiah and the Bonnevilles,Chronically Cautious - Country Version,track,Chronically Cautious (Country Version),2,2023-06-28
143,Hitsujibungaku,more than words,track,more than words,1,2023-09-01
144,Royel Otis,I Wanna Dance With You,track,Sofa Kings,7,2023-03-31
145,Gorillaz,Silent Running (feat. Adeleye Omotayo),track,Cracker Island,10,2023-02-24
146,Jason Aldean,Tough Crowd,track,Highway Desperado,14,2023-11-03
147,The Beaches,Everything is Boring,track,Blame My Ex,10,2023-09-15
148,NEEDTOBREATHE,Fall On Me (feat. Carly Pearce),track,CAVES,11,2023-09-15
149,Disturbed,Hey You,track,Divisive,10,2023-11-17
150,Disturbed,Don't Tell Me (feat. Ann Wilson),track,Divisive,10,2023-11-17
151,Phil Wickham,The Jesus Way,track,I Believe,14,2023-08-18
152,Metallica,Screaming Suicide,track,72 Seasons,12,2023-04-14
153,blink-182,DANCE WITH ME,track,ONE MORE TIME...,17,2023-10-20
154,Hollywood Undead,House Of Mirrors (feat. Jelly Roll),track,Hotel Kalifornia (Deluxe Version),20,2023-04-28
155,Paramore,The News,track,This Is Why,10,2023-02-10
156,Dominic Fike,Pasture Child,track,Sunburn,15,2023-07-07
157,Walk off the Earth,My Stupid Heart,track,My Stupid Heart,1,2023-01-27
158,YUNGBLUD,Happier (feat. Oli Sykes of Bring Me The Horizon),track,Happier (feat. Oli Sykes of Bring Me The Horizon),1,2023-10-17
159,Metallica,72 Seasons,track,72 Seasons,12,2023-04-14
160,Chris Janson,All I Need Is You,track,The Outlaw Side Of Me,14,2023-06-16
161,Rawayana,Dame Un Break,track,¿Quién trae las cornetas?,22,2023-09-21
162,Gorillaz,Oil (feat. Stevie Nicks),track,Cracker Island,10,2023-02-24
163,Paramore,Figure 8,track,This Is Why,10,2023-02-10
164,Mitchell Tenpenny,Bigger Mistakes,track,Bigger Mistakes,1,2023-07-28
165,Måneskin,VALENTINE,track,RUSH! (ARE U COMING?),22,2023-11-10
166,QUEEN BEE,メフィスト,track,メフィスト,1,2023-04-20
167,Daisy Jones & The Six,Let Me Down Easy,track,AURORA,11,2023-03-02
168,Disturbed,Unstoppable,track,Divisive,10,2023-11-17
169,100 gecs,757,track,"10,000 gecs",10,2023-03-17
170,Daft Punk,Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz],track,Random Access Memories (10th Anniversary Edition),22,2023-05-12
171,The Expendables,Wicked Game,track,Pleasure Point,12,2023-06-23
172,Pierce The Veil,Flawless Execution,track,The Jaws Of Life,12,2023-02-10
173,Dominic Fike,Sunburn,track,Sunburn,15,2023-07-07
174,Phil Wickham,Psalm 23,track,I Believe,14,2023-08-18
175,Joey Valence & Brae,WATCH YO STEP,track,PUNK TACTICS,14,2023-09-08
176,Fall Out Boy,So Much (For) Stardust,track,So Much (For) Stardust,14,2023-03-24
177,Måneskin,THE DRIVER,track,RUSH! (ARE U COMING?),22,2023-11-10
178,In Flames,Meet Your Maker,track,Foregone,12,2023-02-10
179,Phoenix,After Midnight (feat. Clairo),track,After Midnight (feat. Clairo),1,2023-03-16
180,Lauren Daigle,Be Okay,track,Lauren Daigle,23,2023-09-08
181,100 gecs,mememe,track,"10,000 gecs",10,2023-03-17
182,BABYMETAL,METALI!! - feat. Tom Morello,track,METALI!! (feat. Tom Morello),1,2023-08-17
