,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
355,mazie,dumb dumb - sped up,track,the rainbow cassette (bonus),9,2022-09-28
356,SEVENTEEN,HOT,track,SEVENTEEN 4th Album 'Face the Sun',9,2022-05-27
357,Kim Petras,XXX,track,Slut Pop,7,2022-02-11
358,Dove Cameron,Breakfast,track,Breakfast,1,2022-06-24
359,Kameron Marlowe,Girl On Fire,track,We Were Cowboys,16,2022-08-26
360,Tyga,Sunshine,track,Sunshine,1,2022-08-12
361,mgk,roll the windows up,track,lockdown sessions,3,2022-03-02
362,JID,Stars (feat. Yasiin Bey),track,The Forever Story (Extended Version),16,2022-10-31
363,Conan Gray,Disaster,track,Superache,12,2022-06-24
364,Jamie Miller,It Is What It Is,track,Broken Memories,6,2022-04-29
365,Kate Bollinger,Yards / Gardens,track,Look at it in the Light,6,2022-04-22
366,Drake,Flight's Booked,track,"Honestly, Nevermind",14,2022-06-17
367,Stellar,Stranger,track,Stranger,1,2022-09-02
368,Dreamville,Stick (with JID & J. Cole feat. Kenny Mason & Sheck Wes),track,D-Day: A Gangsta Grillz Mixtape,15,2022-03-31
369,Hailee Steinfeld,Coast (feat. Anderson .Paak),track,Coast,1,2022-07-29
370,Imagine Dragons,Sharks,track,Sharks,1,2022-06-24
371,Taylor Swift,High Infidelity,track,Midnights (3am Edition),20,2022-10-22
372,Orion Sun,intro,track,Getaway,6,2022-03-11
373,Chase McDaniel,Project,track,Project,1,2022-05-27
374,Kameron Marlowe,Giving You Up,track,We Were Cowboys,16,2022-08-26
375,PinkPantheress,Picture in My Mind,track,Picture in my mind,1,2022-08-10
376,Lizzo,2 Be Loved (Am I Ready),track,Special,12,2022-07-14
377,Burna Boy,Last Last,track,"Love, Damini",19,2022-07-06
378,TWICE,Talk that Talk,track,BETWEEN 1&2,7,2022-08-26
379,Tate McRae,don't come back,track,i used to think i could fly,13,2022-05-27
380,Taylor Swift,Karma,track,Midnights (3am Edition),20,2022-10-22
