,Artista,Pais_origen,Area_origen,Fecha_ini_act,Fecha_fin_act,Genero
317,Lit Killah,Buenos Aires,Buenos Aires,1999-10-04,,male
318,Hexagrams,Mexico,no data,no data,,no data
319,James Cotton,United States,Tunica,1935-07-01,True,male
320,D.I.,United States,Fullerton,1982,,no data
321,Cherry Poppin’ Daddies,United States,Eugene,1989,,no data
322,311,United States,Omaha,1988,,no data
323,Riviera,Germany,no data,no data,,no data
324,Elisa Tokeshi,no data,no data,no data,,no data
325,Natalia Lafourcade,Mexico,Coatepec,1984-02-26,,female
326,Animal Collective,United States,Baltimore,2000,,no data
327,Selma Oxor,Mexico,no data,no data,,female
328,Sensa,no data,no data,no data,,no data
329,Shoeg,no data,no data,no data,,no data
330,Omar Romero,no data,no data,no data,,male
331,Mon Laferte,Mexico,Viña del Mar,1983-05-02,,female
332,D3ndron,no data,no data,no data,,no data
333,Lasso,Venezuela,Caracas,1988-02-18,,no data
334,Joan Baez,United States,Staten Island,1941-01-09,,female
335,Alberto Cortez,Argentina,Rancul,1940-03-11,True,male
336,Easy Easy,Guatemala,no data,no data,,no data
337,Marx Haübey,no data,no data,no data,,no data
338,Zzoilo,Spain,Valencia,2000-06-29,,male
339,Micro TDH,Venezuela,Mérida,1999-04-14,,male
