,artista,cancion,tipo,nombre_album,total_tracks,año_lanzamiento
119,We Came As Romans,Plagued,track,Darkbloom,10,2022-10-14
120,Tauren Wells,Crazy About You,track,Joy In The Morning,10,2022-06-10
121,Fontaines D.C.,I Love You,track,Skinty Fia,10,2022-04-22
122,Vance Joy,Clarity,track,In Our Own Sweet Time,12,2022-06-10
123,Polyphia,Ego Death (feat. Steve Vai),track,Remember That You Will Die,12,2022-10-28
124,The Score,Fighter,track,Metamorph,11,2022-03-18
125,Bette Midler,The Witches Are Back,track,Hocus Pocus 2 (Original Soundtrack),28,2022-09-30
126,quannnic,snarky,track,kenopsia,10,2022-02-28
127,Ghost,Hunter’s Moon,track,IMPERA,12,2022-03-11
128,Rend Collective,Hallelujah Anyway,track,Whosoever,10,2022-08-26
129,Royel Otis,Motels,track,Motels,3,2022-08-04
130,Brantley Gilbert,Bury Me Upside Down,track,So Help Me God (Deluxe Edition / Behind The Songs),30,2022-11-10
131,for KING & COUNTRY,Unsung Hero,track,What Are We Waiting For?,13,2022-03-11
132,Alvvays,Tile By Tile,track,Blue Rev,14,2022-10-07
133,Tame Impala,The Boat I Row,track,The Slow Rush B-Sides & Remixes,8,2022-02-18
134,The 1975,When We Are Together,track,Being Funny In A Foreign Language,11,2022-10-14
135,"Black Country, New Road",The Place Where He Inserted the Blade,track,Ants From Up There,10,2022-02-04
136,Eve,FightSong,track,FightSong,1,2022-12-28
137,RADWIMPS,Suzume,track,Suzume,1,2022-09-30
138,Journey,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,track,Separate Ways (Worlds Apart) [Bryce Miller/Alloy Tracks Remix],1,2022-04-12
139,Dan Bremnes,Fingerprints,track,Into The Wild,10,2022-06-17
140,OneRepublic,West Coast,track,West Coast,1,2022-02-25
141,Brandon Heath,See Me Through It,track,Enough Already,9,2022-04-22
142,Elle King,Jersey Giant,track,Jersey Giant,1,2022-11-11
143,Red Hot Chili Peppers,Black Summer,track,Black Summer,1,2022-02-04
144,My Chemical Romance,The Foundations of Decay,track,The Foundations of Decay,1,2022-05-12
145,Stick Figure,Showdown (with Collie Buddz),track,Wisdom,14,2022-09-09
146,Ben Rector,Sunday (feat. Snoop Dogg),track,The Joy of Music,13,2022-03-11
147,Slipknot,Yen,track,"The End, So Far",12,2022-09-30
148,Florida Georgia Line,Up Down,track,Greatest Hits,18,2022-11-09
149,Mother Mother,Hayloft II (SMASHUP),track,Hayloft II (SMASHUP),2,2022-05-06
150,Dustin Lynch,Party Mode,track,Blue In The Sky,13,2022-02-11
151,Rammstein,Dicke Titten,track,Zeit,11,2022-04-29
152,Fontaines D.C.,Jackie Down The Line,track,Skinty Fia,10,2022-04-22
153,Goth Babe,Driving South,track,Santa Catalina,3,2022-02-25
154,Maretu,New Darling,track,New Darling,1,2022-03-19
155,Wet Leg,Chaise Longue,track,Wet Leg,12,2022-04-08
156,Brantley Gilbert,Son Of The Dirty South,track,Son Of The Dirty South,1,2022-06-24
157,Friday Pilots Club,Better With,track,Better With,1,2022-07-28
158,Papa Roach,Swerve (feat. FEVER 333 & Sueco),track,Ego Trip,14,2022-04-08
159,Tropidelic,Falling Down (with Nick Hexum of 311),track,All The Colors,12,2022-08-05
160,Cole Swindell,Drinkaby,track,Stereotype Broken,17,2022-04-08
161,The Score,Enemies,track,Metamorph,11,2022-03-18
162,MercyMe,To Not Worship You,track,Always Only Jesus,10,2022-10-21
163,Yeah Yeah Yeahs,Spitting Off the Edge of the World,track,Cool It Down,8,2022-09-30
164,Luke Bryan,Country On,track,Country On,1,2022-07-01
165,Walker Hayes,Y'all Life,track,Y'all Life,1,2022-07-15
166,Dirty Heads,Life's Been Good,track,Midnight Control,10,2022-08-26
167,Generación 12,Quiero Conocer a Jesús (Yeshua) / Nuestro Dios,track,Tu Reino Está Aquí,10,2022-10-21
168,Ghost,Griftwood,track,IMPERA,12,2022-03-11
169,Tauren Wells,Up,track,Joy In The Morning,10,2022-06-10
170,We Came As Romans,Golden,track,Darkbloom,10,2022-10-14
171,Level 42,"Something About You - 7"" Version",track,"7"" Singles",23,2022-06-17
172,"Black Country, New Road",Intro,track,Ants From Up There,10,2022-02-04
173,Metallica,Lux Æterna,track,Lux Æterna,1,2022-11-28
174,Brantley Gilbert,Rolex® On A Redneck,track,Rolex® On A Redneck,1,2022-03-25
175,Ghost,Kaisarion,track,IMPERA,12,2022-03-11
176,Metallica,Master of Puppets,track,"Stranger Things: Soundtrack from the Netflix Series, Season 4",22,2022-07-01
177,Dayglow,Then It All Goes Away,track,People In Motion,10,2022-10-07
178,OneRepublic,I Ain't Worried,track,Top Gun: Maverick (Music From The Motion Picture),12,2022-05-27
179,Tauren Wells,Joy In The Morning,track,Joy In The Morning - Horizon Edition,19,2022-06-10
180,OFFICIAL HIGE DANDISM,Mixed Nuts,track,Mixed Nuts,1,2022-04-15
181,Josiah and the Bonnevilles,Heat Waves,track,2022,13,2022-12-14
182,The 1975,All I Need To Hear,track,Being Funny In A Foreign Language,11,2022-10-14
183,Arctic Monkeys,There’d Better Be A Mirrorball,track,The Car,10,2022-10-21
184,Imagine Dragons,My Life,track,Mercury - Acts 1 & 2,32,2022-07-01
185,Goth Babe,Taking Over The Sun,track,Taking Over The Sun,1,2022-06-03
186,BUMP OF CHICKEN,SOUVENIR,track,SOUVENIR,1,2022-09-29
187,Palaye Royale,No Love In LA,track,Fever Dream,15,2022-10-28
188,Imagine Dragons,Symphony,track,Mercury - Acts 1 & 2,32,2022-07-01
189,Good Morning,Out To Pasture,track,Out To Pasture / Misery,2,2022-03-23
190,Muse,You Make Me Feel Like It’s Halloween,track,Will Of The People,10,2022-08-26
191,Natalia Lafourcade,El lugar correcto,track,De Todas las Flores,12,2022-10-28
192,Friday Pilots Club,Hot Mess,track,Hot Mess,1,2022-06-23
193,Coheed and Cambria,The Liars Club,track,Vaxis II: A Window of the Waking Mind,13,2022-06-24
194,for KING & COUNTRY,RELATE,track,What Are We Waiting For?,13,2022-03-11
195,We Came As Romans,Darkbloom,track,Darkbloom,10,2022-10-14
196,DECO*27,サラマンダー,track,サラマンダー,2,2022-01-08
197,Dirty Heads,Heavy Water (feat. Common Kings),track,Midnight Control,10,2022-08-26
198,Whiskey Myers,The Wolf,track,Tornillo,12,2022-07-29
199,Ghost,Mary On A Cross - slowed + reverb,track,Mary On A Cross (slowed + reverb),2,2022-08-26
200,The Score,Head Up,track,Metamorph,11,2022-03-18
201,Alex G,Runner,track,God Save The Animals,13,2022-09-23
202,Imagine Dragons,Waves,track,Mercury - Acts 1 & 2,32,2022-07-01
203,Kairikibear,BUG,track,BUG,1,2022-07-09
204,Little Stranger,Coffee & a Joint,track,Trip Around Saturn (Deluxe),17,2022-11-04
205,Father John Misty,Goodbye Mr. Blue,track,Chloë and the Next 20th Century,11,2022-04-08
206,Jerry Lee Lewis,Whole Lotta Shakin' Going On - Remastered 2022,track,The Killer Keys Of Jerry Lee Lewis (Sun Records 70th / Remastered 2022),14,2022-09-23
207,Jimmie Allen,down home,track,Tulip Drive,17,2022-06-24
208,Quarters of Change,Kiwi,track,Kiwi (feat. Juice),2,2022-01-28
209,Luna Li,Afterglow,track,Duality,13,2022-03-04
210,Dustin Lynch,Tequila On A Boat (feat. Chris Lane),track,Blue In The Sky,13,2022-02-11
211,Highly Suspect,Natural Born Killer,track,The Midnight Demon Club,12,2022-09-09
212,Arctic Monkeys,Sculptures Of Anything Goes,track,The Car,10,2022-10-21
213,Ryan Stevenson,I Cry Jesus,track,I Cry Jesus,1,2022-05-06
214,Rammstein,Angst,track,Zeit,11,2022-04-29
215,Elvis Presley,If I Can Dream,track,ELVIS (Original Motion Picture Soundtrack),36,2022-06-24
216,Stick Figure,Higher (with Slightly Stoopid),track,Wisdom,14,2022-09-09
217,Jon Pardi,Neon Light Speed,track,Mr. Saturday Night,14,2022-09-02
218,Petey,DON'T TELL THE BOYS,track,Lean Into Life,13,2022-09-29
219,Dylan Scott,Amen To That,track,Livin' My Best Life,16,2022-08-05
220,Phil Wickham,Reason I Sing - Acoustic,track,Hymn Of Heaven (Acoustic Sessions),12,2022-03-25
221,Wet Leg,Being In Love,track,Wet Leg,12,2022-04-08
222,Polyphia,Reverie,track,Remember That You Will Die,12,2022-10-28
223,Portugal. The Man,"What, Me Worry?",track,"What, Me Worry?",1,2022-02-09
224,Joey Valence & Brae,Ready Set,track,The Underground Sound,6,2022-02-25
225,The Bones of J.R. Jones,Trouble,track,Trouble,2,2022-09-09
226,Phil Wickham,Worthy of My Song (Worthy of It All),track,Worthy of My Song (Worthy of It All),1,2022-04-08
227,Royel Otis,Warm Nights,track,Bar & Grill,6,2022-08-05
228,Ben Rector,Steady Love,track,The Joy of Music,13,2022-03-11
229,Drake White,Power of a Woman,track,The Optimystic,14,2022-03-11
230,Dustin Lynch,Huntin' Land (feat. Riley Green),track,Blue In The Sky,13,2022-02-11
231,Rammstein,Armee der Tristen,track,Zeit,11,2022-04-29
232,Nickelback,Those Days,track,Get Rollin',11,2022-11-18
233,Florence + The Machine,Choreomania,track,Dance Fever,14,2022-05-13
234,Fontaines D.C.,I Love You,track,I Love You,2,2022-02-17
235,Slipknot,The Chapeltown Rag,track,"The End, So Far",12,2022-09-30
236,Imagine Dragons,No Time For Toxic People,track,Mercury - Acts 1 & 2,32,2022-07-01
237,Fontaines D.C.,Roman Holiday,track,Skinty Fia,10,2022-04-22
238,Brantley Gilbert,Heaven By Then,track,So Help Me God,10,2022-11-10
239,Palace,Never Said It Was Easy,track,Shoals,12,2022-01-21
240,Alvvays,After The Earthquake,track,Blue Rev,14,2022-10-07
241,Three Days Grace,I Am The Weapon,track,EXPLOSIONS,12,2022-05-06
242,Vance Joy,Don't Fade,track,In Our Own Sweet Time,12,2022-06-10
243,Polyphia,Neurotica,track,Remember That You Will Die,12,2022-10-28
244,Sam Hunt,Start Nowhere,track,Start Nowhere,1,2022-11-23
245,Colorblind,Ghosts,track,Ghosts,1,2022-09-09
246,Young the Giant,The Walk Home,track,American Bollywood,16,2022-11-16
247,Ghost,Watcher In The Sky,track,IMPERA,12,2022-03-11
248,The 1975,The 1975,track,Being Funny In A Foreign Language,11,2022-10-14
249,Casting Crowns,Scars in Heaven,track,Healer,7,2022-01-14
250,Nickelback,High Time,track,Get Rollin',11,2022-11-18
251,Arcy Drive,Roll My Stone,track,Roll My Stone,1,2022-07-15
252,Arctic Monkeys,There’d Better Be A Mirrorball,track,There’d Better Be A Mirrorball,1,2022-08-30
253,Thomas Rhett,Slow Down Summer,track,Where We Started,15,2022-04-01
254,Pacific Roots,Farmer,track,Still Standing,12,2022-01-07
255,Vance Joy,Clarity,track,Clarity,3,2022-04-06
256,Richy Mitch & The Coal Miners,Laramee,track,Laramee,1,2022-11-21
257,Glass Animals,Solar Power - Spotify Singles,track,Spotify Singles,2,2022-03-31
258,The Killers,boy,track,boy,1,2022-08-05
259,"Black Country, New Road",Concorde,track,Ants From Up There,10,2022-02-04
260,Dirty Heads,Island Glow,track,Midnight Control,10,2022-08-26
261,Newsboys,I Speak Jesus,track,I Speak Jesus,1,2022-09-02
262,TobyMac,The Goodness (feat. Blessing Offor),track,The Goodness,4,2022-06-03
263,Matt Maher,The Lord's Prayer (It's Yours),track,The Lord's Prayer (It's Yours),2,2022-06-24
264,Bad Suns,Life Was Easier When I Only Cared About Me,track,Apocalypse Whenever,13,2022-01-28
265,Ghost,Respite On The Spitalfields,track,IMPERA,12,2022-03-11
266,Stick Figure,Old Sunrise,track,Wisdom,14,2022-09-09
267,for KING & COUNTRY,Love Me Like I Am (with Jordin Sparks),track,Love Me Like I Am (with Jordin Sparks),1,2022-10-07
268,Andy Frasco & The U.N.,Dancin' Around My Grave,track,"Wash, Rinse, Repeat.",12,2022-04-08
269,Korn,Start The Healing,track,Requiem,9,2022-02-04
270,"Black Country, New Road",Chaos Space Marine,track,Ants From Up There,10,2022-02-04
271,Dorothy,Rest In Peace,track,Gifts From The Holy Ghost,10,2022-04-22
272,Polyphia,All Falls Apart,track,Remember That You Will Die,12,2022-10-28
273,The 1975,Part Of The Band,track,Being Funny In A Foreign Language,11,2022-10-14
274,Brothers Osborne,Midnight Rider's Prayer,track,Skeletons (Deluxe),15,2022-01-21
275,Zac Brown Band,Wild Palomino,track,The Comeback (Deluxe),21,2022-09-30
276,Mitchell Tenpenny,Elephant in the Room (feat. Teddy Swims),track,Elephant in the Room (feat. Teddy Swims),1,2022-04-29
277,The Unlikely Candidates,Novocaine,track,Panther Island,11,2022-05-20
278,alt-J,U&ME,track,The Dream,12,2022-02-11
279,Shane & Shane,You've Already Won - Live,track,You've Already Won (Live),1,2022-12-30
280,Nickelback,Standing In The Dark,track,Get Rollin',11,2022-11-18
281,Arctic Monkeys,Body Paint,track,The Car,10,2022-10-21
282,Dylan Scott,Livin' My Best Life,track,Livin' My Best Life,16,2022-08-05
283,Hippo Campus,Boys,track,LP3,10,2022-02-04
284,Insane Clown Posse,I'm Ugly,track,Pug Ugly,7,2022-08-05
285,Imagine Dragons,One Day,track,Mercury - Acts 1 & 2,32,2022-07-01
286,lovelytheband,sail away,track,sail away,1,2022-06-24
287,Papa Roach,No Apologies,track,Ego Trip,14,2022-04-08
288,Coheed and Cambria,Shoulders,track,Vaxis II: A Window of the Waking Mind,13,2022-06-24
289,Stick Figure,Edge of the Ocean,track,Edge of the Ocean,2,2022-08-12
290,"Black Country, New Road",Good Will Hunting,track,Ants From Up There,10,2022-02-04
291,Tauren Wells,Fake It,track,Joy In The Morning,10,2022-06-10
292,Quarters of Change,T Love,track,Into The Rift,11,2022-07-29
293,Thomas Rhett,Where We Started,track,Where We Started,15,2022-04-01
294,Florence + The Machine,Girls Against God,track,Dance Fever,14,2022-05-13
295,The Beths,Expert In A Dying Field,track,Expert In A Dying Field,12,2022-09-16
296,Matt Maher,The Lord's Prayer (It's Yours),track,The Stories I Tell Myself,8,2022-09-09
297,Three Days Grace,Neurotic (feat. Lukas Rossi),track,EXPLOSIONS,12,2022-05-06
298,Florence + The Machine,Daffodil,track,Dance Fever,14,2022-05-13
299,TOOL,Opiate²,track,Opiate²,1,2022-03-01
300,Tame Impala,No Choice,track,The Slow Rush B-Sides & Remixes,8,2022-02-18
301,Yeah Yeah Yeahs,Burning,track,Cool It Down,8,2022-09-30
302,Milky Chance,Unknown Song,track,Unknown Song,1,2022-01-21
303,DECO*27,The Vampire,track,MANNEQUIN,11,2022-03-09
304,Siddhartha,00:00,track,00:00,10,2022-03-31
305,Josiah and the Bonnevilles,Anti-Hero (Country Version),track,2022,13,2022-12-14
306,Momma,Medicine,track,Household Name,12,2022-07-01
307,KANA-BOON,スターマーカー (Album Mix),track,Honey & Darling,15,2022-03-30
308,Zac Brown Band,Out In The Middle,track,The Comeback (Deluxe),21,2022-09-30
309,Goth Babe,Running Around,track,Running Around,1,2022-02-02
310,Goth Babe,Surfing in Iceland,track,Surfing in Iceland,1,2022-10-14
311,HoneyWorks,Kawaikutegomen,track,Kokuhakujikkouiinkai -FLYING SONGS- Koishiteru,13,2022-08-28
312,Florence + The Machine,Cassandra,track,Dance Fever,14,2022-05-13
313,Guns N' Roses,November Rain - 2022 Version,track,Use Your Illusion I (Deluxe Edition),29,2022-11-11
314,quannnic,soil,track,kenopsia,10,2022-02-28
315,Jesse Roper,Does Anybody Know,track,Horizons,13,2022-09-30
316,Palace,Lover (Don't Let Me Down),track,Shoals,12,2022-01-21
317,Surfer Girl,Five Temptations,track,Sunrise,13,2022-09-16
318,Jason Aldean,God Made Airplanes,track,GEORGIA,15,2022-04-22
319,ivri,no way out,track,no way out,1,2022-10-27
320,Jon Pardi,Fill 'Er Up,track,Mr. Saturday Night,14,2022-09-02
321,TK from Ling tosite sigure,first death,track,first death,1,2022-11-30
322,Alvvays,Easy On Your Own?,track,Blue Rev,14,2022-10-07
323,Natalie Grant,You Will Be Found,track,You Will Be Found,1,2022-12-16
324,Stars Go Dim,Authority (In The Name Of Jesus),track,Grace In The Wilderness,13,2022-04-29
325,Dorothy,Black Sheep,track,Gifts From The Holy Ghost,10,2022-04-22
326,Marcus King,Hard Working Man,track,Young Blood,11,2022-08-26
327,Ghost,Twenties,track,IMPERA,12,2022-03-11
328,Bryce Fox,Bodies,track,Strength,11,2022-04-08
329,Arctic Monkeys,Hello You,track,The Car,10,2022-10-21
330,Dan Bremnes,Lover Of My Soul,track,Into The Wild,10,2022-06-17
331,Megadeth,We’ll Be Back,track,"The Sick, The Dying… And The Dead!",14,2022-09-02
332,Arctic Monkeys,Body Paint,track,Body Paint,2,2022-09-29
333,Stephen Bishop,It Might Be You,track,Best of Bish,15,2022-07-08
334,Friday Pilots Club,Bury Me,track,"I LOVE YOU, ROBOT SUPERSTAR!",6,2022-10-27
335,The Fixx,Saved By Zero,track,Synth Pop,42,2022-02-21
336,Sophie Powers,U Love It,track,U Love It,1,2022-02-18
337,Zac Brown Band,Out In The Middle,track,Out in the Middle,2,2022-06-22
338,Red Hot Chili Peppers,Eddie,track,Return of the Dream Canteen,17,2022-10-14
339,Royel Otis,Bull Breed,track,Bull Breed,2,2022-05-31
340,Slipknot,Hive Mind,track,"The End, So Far",12,2022-09-30
341,Barns Courtney,Supernatural,track,Supernatural,1,2022-09-09
342,Tedeschi Trucks Band,Soul Sweet Song,track,I Am The Moon: IV. Farewell,6,2022-08-26
343,The 1975,Wintering,track,Being Funny In A Foreign Language,11,2022-10-14
344,MercyMe,Then Christ Came (feat. Phil Wickham),track,Then Christ Came (feat. Phil Wickham),1,2022-11-18
