,genero_musica,artista,listeners,playcount,biografia,artistas_similares
47,hiphop,YEEK,387381,6241158,"Born & partially raised in New Jersey while spending developing years in both Southwest Florida & California, Yeek is a singer-songwriter/producer.  Notably coined as an early adopter of the 'genre-bending' space and breaking through the essence of what ‘DIY’ stands for, Yeek is a creative in every sense of the word -- straddling between the worlds of music, film, fashion, & art. <a href=""https://www.last.fm/music/YEEK"">Read more on Last.fm</a>","[""Dre'es"", 'Kevin Abstract', 'DUCKWRTH', 'Ag Club']"
50,hiphop,Rowlan,27297,200344,"Thomas Rowland, born in Barnstable, Massachusetts on March 18, 1993. He is professionally known as Rowlan, and is an American rapper, singer, songwriter and record producer. He initially gained recognition through his remix of “Nikes On My Feet” by Mac Miller. The song reached over 500 thousand streams total with over 100 thousand views on the YouTube video.

He since has put out over 100 songs in single and EP format, much of which has helped him gradually grow his following with his fans. <a href=""https://www.last.fm/music/Rowlan"">Read more on Last.fm</a>","['P.MO', 'J-Wright', 'Anilyst', 'Kvng Moses']"
52,hiphop,Delirium,67687,575594,"There are several bands called Delirium around the world, please see below for a bio of each band, categorized by number:

1) Progressive rock band from Italy.

2) Heavy metal band from Honduras.

3) A death/doom metal band from Holland formed in 1988. They had a self-titled demo in 1988 a demo titled ""Amputation"" in 1989. They released their first and only album in 1990 title ""Zzooouhh"" on Prophecy Records.

4) A Los Angeles art metal band formed in 2008 under the name Saboteur. <a href=""https://www.last.fm/music/Delirium"">Read more on Last.fm</a>","['Le Orme', 'Museo Rosenbach', 'Premiata Forneria Marconi', 'Banco del Mutuo Soccorso']"
54,hiphop,Mac Black,651,54124,"Mac Black is an artist from Memphis Tennessee, who grew up in the Coro Lake area. His real is name Dennis Fair. Even though he has been associated with the Gangsta Disciples, he's the founder of Bluff City Mafia. Going to Westwood High School is where he held freestyle sessions and creating small crowds. Being from a family of blues players is where he found his true passion for music. In 1995 he was apart of a group named Dem Thugs, who eventually departed ways. <a href=""https://www.last.fm/music/Mac+Black"">Read more on Last.fm</a>","['Gangsta Pat & Legion Of doome', 'Hy Lyfe Inc', 'Da Track Murderers', 'Icy K']"
56,hiphop,Dstar,1293,19322," <a href=""https://www.last.fm/music/Dstar"">Read more on Last.fm</a>","['Infiltrata', 'Juel Anthony', 'Lewel', 'Brainaholic']"
57,hiphop,MoneyBagg Yo,578575,16253133,"Demario DeWayne White, Jr. (born September 22, 1991), better known by his stage name Moneybagg Yo, is an American rapper. He signed to Yo Gotti's record label CMG in October 2016.[1] He also signed a distribution deal with Interscope.[2][3] His latest two projects, Federal 3X and 2 Heartless, debuted at number 5 and number 16 on the Billboard 200, respectively.

Career
His early mixtapes were issued in 2012, including From The Da Block 2 Da Booth and October 20th. <a href=""https://www.last.fm/music/MoneyBagg+Yo"">Read more on Last.fm</a>",[]
59,hiphop,Hemanifezt,459,914," <a href=""https://www.last.fm/music/Hemanifezt"">Read more on Last.fm</a>","['The Passion HIFI', 'Fika Phan Tri', 'YMN jC', 'Shawn2Legit']"
61,hiphop,Grip,91039,1087337,"GRIP has been called “Atlanta’s Next Great Storyteller” and is quickly generating buzz and acclaim. He dropped his breakout project “Porch” in 2017, followed by “Snubhouse” in 2019. Then he dropped two more new projects called “Halo” and “Proboscidea“. GRIP’s lyrical music and building popularity caught the ear of Paul Rosenberg, who then introduced him to Eminem.

“Grip is the type of artist that brings you into his world and expresses himself through a complete composed body of work. <a href=""https://www.last.fm/music/Grip"">Read more on Last.fm</a>","['Royce da 5\'9""', 'Bad Meets Evil', 'Eminem', 'Slaughterhouse']"
63,hiphop,Murs,359967,5268370,"Murs (born Nick Carter, March 16, 1978), is an underground MC from Mid-City Los Angeles, CA.  The name 'MURS' is an acronym for Making Underground Raw Shit. He began to opening eyes as a solo artist in 2002, with the releases of both the full length Def Jux release The End Of The Beginning and the more introspective Varsity Blues EP.  Then Murs & 9th Wonder releasing an even more popular and critically acclaimed album called Murs 3:16 - The 9th Edition. <a href=""https://www.last.fm/music/Murs"">Read more on Last.fm</a>","['Living Legends', 'Brother Ali', 'Atmosphere', 'Mr. Lif']"
64,hiphop,Mr. Cream,937,1966," <a href=""https://www.last.fm/music/Mr.+Cream"">Read more on Last.fm</a>","['1000volts', '40XL', 'Ufo Fev', '2nd Generation Wu']"
